,bioma,riscofogo,precipitacao
2018-01-02,Amazonia,15.0,0.9758347978910401
2018-01-03,Amazonia,23.0,0.907537688442215
2018-01-04,Amazonia,12.0,1.9399797570850132
2018-01-05,Amazonia,58.0,0.5992285438765695
2018-01-06,Amazonia,25.0,2.330701754385968
2018-01-07,Amazonia,66.0,1.093949044585989
2018-01-08,Amazonia,55.0,0.9167999999999984
2018-01-09,Amazonia,47.0,1.6800724637681166
2018-01-10,Amazonia,53.0,1.167765567765567
2018-01-11,Amazonia,105.0,1.394222833562589
2018-01-12,Amazonia,65.0,0.7161577608142501
2018-01-13,Amazonia,85.0,2.0027972027972014
2018-01-14,Amazonia,68.0,1.2467696629213438
2018-01-15,Amazonia,105.0,2.4049808429118795
2018-01-16,Amazonia,74.0,2.0348870056497175
2018-01-17,Amazonia,20.0,4.3279835390946495
2018-01-18,Amazonia,87.0,1.7848543689320386
2018-01-19,Amazonia,52.0,1.4379310344827616
2018-01-20,Amazonia,17.0,1.6359595959595978
2018-01-21,Amazonia,86.0,2.477386934673368
2018-01-22,Amazonia,156.0,1.6101265822784816
2018-01-23,Amazonia,170.0,1.3994350282485886
2018-01-24,Amazonia,46.0,2.5120104438642272
2018-01-25,Amazonia,13.0,6.143283582089552
2018-01-26,Amazonia,81.0,1.8062780269058292
2018-01-27,Amazonia,42.0,0.9349557522123882
2018-01-28,Amazonia,163.0,0.34105263157894683
2018-01-29,Amazonia,187.0,0.10948121645796083
2018-01-30,Amazonia,477.0,0.1721291866028706
2018-01-31,Amazonia,380.0,0.5160509554140141
2018-02-01,Amazonia,759.0,0.21961620469083096
2018-02-02,Amazonia,464.0,0.6922242314647387
2018-02-03,Amazonia,381.0,0.0884879725085912
2018-02-04,Amazonia,376.0,0.06715410573678327
2018-02-05,Amazonia,385.0,0.02443559096945549
2018-02-06,Amazonia,306.0,0.43587684069611843
2018-02-07,Amazonia,489.0,0.08035126234906695
2018-02-08,Amazonia,796.0,0.1303370786516851
2018-02-09,Amazonia,573.0,0.814566115702481
2018-02-10,Amazonia,151.0,1.115824915824915
2018-02-11,Amazonia,311.0,0.5746236559139785
2018-02-12,Amazonia,64.0,1.2774999999999992
2018-02-13,Amazonia,11.0,2.2773109243697482
2018-02-14,Amazonia,87.0,2.261999999999996
2018-02-15,Amazonia,209.0,2.8607929515418555
2018-02-16,Amazonia,20.0,5.507627118644065
2018-02-17,Amazonia,1.0,8.436842105263159
2018-02-18,Amazonia,186.0,1.1514880952380975
2018-02-19,Amazonia,408.0,0.32557297949336583
2018-02-20,Amazonia,375.0,0.06469298245614039
2018-02-21,Amazonia,203.0,0.02198581560283687
2018-02-22,Amazonia,308.0,1.8239600665557398
2018-02-23,Amazonia,382.0,0.11855421686746925
2018-02-24,Amazonia,31.0,6.238683127572024
2018-02-25,Amazonia,165.0,1.8578125000000059
2018-02-26,Amazonia,125.0,0.9013972055888252
2018-02-27,Amazonia,282.0,0.33906249999999977
2018-02-28,Amazonia,222.0,1.0662337662337673
2018-03-01,Amazonia,264.0,2.071080139372819
2018-03-02,Amazonia,142.0,0.9106498194945858
2018-03-03,Amazonia,61.0,2.972859216255437
2018-03-04,Amazonia,16.0,4.311585365853657
2018-03-05,Amazonia,223.0,1.5726283048211502
2018-03-06,Amazonia,11.0,6.505277777777776
2018-03-07,Amazonia,0.0,5.472727272727272
2018-03-08,Amazonia,1.0,1.0406727828746234
2018-03-09,Amazonia,193.0,1.2896825396825393
2018-03-10,Amazonia,43.0,0.214736842105263
2018-03-11,Amazonia,82.0,0.03617350890782341
2018-03-12,Amazonia,111.0,0.7667506297229246
2018-03-13,Amazonia,34.0,0.16742424242424161
2018-03-14,Amazonia,124.0,0.15346620450606552
2018-03-15,Amazonia,100.0,0.025865384615384613
2018-03-16,Amazonia,44.0,0.20082474226804117
2018-03-17,Amazonia,45.0,2.8488479262672834
2018-03-18,Amazonia,300.0,0.1101840490797535
2018-03-19,Amazonia,416.0,0.20196998123827617
2018-03-20,Amazonia,423.0,0.24783118405627622
2018-03-21,Amazonia,317.0,0.4917095115681283
2018-03-22,Amazonia,280.0,1.0775316455696233
2018-03-23,Amazonia,987.0,0.13611416026344747
2018-03-24,Amazonia,796.0,0.010055501142670606
2018-03-25,Amazonia,135.0,0.6470399999999996
2018-03-26,Amazonia,123.0,0.5777777777777773
2018-03-27,Amazonia,118.0,0.40153061224489894
2018-03-28,Amazonia,97.0,2.183495145631067
2018-03-29,Amazonia,33.0,1.0456582633053229
2018-03-30,Amazonia,59.0,1.1672514619883032
2018-03-31,Amazonia,121.0,0.4684563758389281
2018-04-01,Amazonia,900.0,0.07912878787878659
2018-04-02,Amazonia,612.0,0.7551044083526678
2018-04-03,Amazonia,14.0,4.1738219895287925
2018-04-04,Amazonia,45.0,1.2455128205128225
2018-04-05,Amazonia,154.0,0.8891414141414145
2018-04-06,Amazonia,56.0,1.8474789915966419
2018-04-07,Amazonia,115.0,0.4708333333333322
2018-04-08,Amazonia,108.0,0.6803886925795074
2018-04-09,Amazonia,296.0,1.145257452574526
2018-04-10,Amazonia,60.0,1.6578680203045668
2018-04-11,Amazonia,216.0,0.44649446494464773
2018-04-12,Amazonia,255.0,0.1428899082568808
2018-04-13,Amazonia,150.0,0.4955789473684193
