,bioma,riscofogo,precipitacao
2020-01-01,Amazonia,27.0,1.1202702702702703
2020-01-02,Amazonia,31.0,1.2552083333333333
2020-01-03,Amazonia,44.0,0.8693661971830985
2020-01-04,Amazonia,93.0,0.24409448818897644
2020-01-05,Amazonia,60.0,0.284067796610169
2020-01-06,Amazonia,30.0,0.358932714617169
2020-01-07,Amazonia,34.0,0.9793950850661616
2020-01-08,Amazonia,19.0,3.429073482428115
2020-01-09,Amazonia,29.0,1.4633333333333327
2020-01-10,Amazonia,31.0,1.4745704467354002
2020-01-11,Amazonia,22.0,1.1771618625277176
2020-01-12,Amazonia,112.0,0.528260869565217
2020-01-13,Amazonia,201.0,0.8526054590570729
2020-01-14,Amazonia,81.0,1.488235294117649
2020-01-15,Amazonia,48.0,1.7006242197253467
2020-01-16,Amazonia,5.0,4.153846153846159
2020-01-17,Amazonia,49.0,1.9733333333333356
2020-01-18,Amazonia,19.0,2.101123595505619
2020-01-19,Amazonia,37.0,2.017910447761192
2020-01-20,Amazonia,112.0,1.4728237791932073
2020-01-21,Amazonia,154.0,0.6286008230452681
2020-01-22,Amazonia,124.0,0.4546728971962615
2020-01-23,Amazonia,105.0,0.4981751824817518
2020-01-24,Amazonia,105.0,0.761538461538462
2020-01-25,Amazonia,152.0,2.3392265193370148
2020-01-26,Amazonia,41.0,1.6228426395939115
2020-01-27,Amazonia,152.0,1.0480633802816923
2020-01-28,Amazonia,216.0,1.6872122762148363
2020-01-29,Amazonia,156.0,0.9894150417827302
2020-01-30,Amazonia,70.0,2.6441947565543065
2020-01-31,Amazonia,32.0,2.7797183098591542
2020-02-01,Amazonia,35.0,2.5202846975088984
2020-02-02,Amazonia,110.0,1.3086597938144329
2020-02-03,Amazonia,570.0,0.9812641083521454
2020-02-04,Amazonia,144.0,0.7638743455497384
2020-02-05,Amazonia,329.0,0.4069565217391308
2020-02-06,Amazonia,392.0,0.2743362831858405
2020-02-07,Amazonia,535.0,0.21428571428571422
2020-02-08,Amazonia,763.0,0.044300000000000034
2020-02-09,Amazonia,274.0,0.1916279069767442
2020-02-10,Amazonia,317.0,0.22888446215139438
2020-02-11,Amazonia,342.0,0.9639032815198617
2020-02-12,Amazonia,3.0,3.658536585365854
