,bioma,riscofogo,precipitacao
2015-01-01,Amazonia,67.0,0.8397489539748948
2015-01-02,Amazonia,142.0,1.385860655737705
2015-01-03,Amazonia,299.0,1.3093902439024383
2015-01-04,Amazonia,272.0,2.72691176470588
2015-01-05,Amazonia,79.0,1.7419580419580436
2015-01-06,Amazonia,240.0,0.9898944193061858
2015-01-07,Amazonia,199.0,1.9332439678284103
2015-01-08,Amazonia,140.0,1.6321895424836599
2015-01-09,Amazonia,144.0,2.8311965811965734
2015-01-10,Amazonia,96.0,3.2854014598540218
2015-01-11,Amazonia,31.0,2.445283018867925
2015-01-12,Amazonia,36.0,3.741899441340787
2015-01-13,Amazonia,83.0,2.856521739130432
2015-01-14,Amazonia,18.0,3.3448717948717936
2015-01-15,Amazonia,33.0,3.28317307692308
2015-01-16,Amazonia,40.0,1.6795454545454538
2015-01-17,Amazonia,62.0,2.0493243243243247
2015-01-18,Amazonia,58.0,2.2872340425531923
2015-01-19,Amazonia,13.0,3.278260869565217
2015-01-20,Amazonia,33.0,4.199122807017547
2015-01-21,Amazonia,43.0,3.0490566037735825
2015-01-22,Amazonia,21.0,4.481395348837214
2015-01-23,Amazonia,38.0,2.1769230769230763
2015-01-24,Amazonia,66.0,1.0297029702970297
2015-01-25,Amazonia,37.0,3.021518987341772
2015-01-26,Amazonia,27.0,0.08249999999999999
2015-01-27,Amazonia,44.0,1.0230769230769228
2015-01-28,Amazonia,58.0,1.1099502487562196
2015-01-29,Amazonia,48.0,0.5830049261083737
2015-01-30,Amazonia,53.0,0.5323076923076917
2015-01-31,Amazonia,31.0,2.9259911894273136
2015-02-01,Amazonia,19.0,5.564077669902913
2015-02-02,Amazonia,42.0,1.616296296296296
2015-02-03,Amazonia,63.0,1.637349397590362
2015-02-04,Amazonia,58.0,0.635483870967742
2015-02-05,Amazonia,90.0,0.37472527472527467
2015-02-06,Amazonia,161.0,0.13082437275985667
2015-02-07,Amazonia,154.0,0.17101449275362327
2015-02-08,Amazonia,145.0,0.5049180327868842
2015-02-09,Amazonia,36.0,1.8338709677419354
2015-02-10,Amazonia,81.0,0.7402684563758383
2015-02-11,Amazonia,32.0,1.360975609756097
2015-02-12,Amazonia,119.0,0.5552301255230119
2015-02-13,Amazonia,109.0,0.6595667870036095
2015-02-14,Amazonia,99.0,1.0004405286343607
2015-02-15,Amazonia,77.0,1.182035928143713
2015-02-16,Amazonia,62.0,2.1933333333333347
2015-02-17,Amazonia,34.0,0.7449999999999991
2015-02-18,Amazonia,72.0,1.0854166666666665
2015-02-19,Amazonia,125.0,0.42639593908629425
2015-02-20,Amazonia,172.0,0.038695652173913
2015-02-21,Amazonia,223.0,0.14864864864864866
2015-02-22,Amazonia,166.0,0.8737089201877929
2015-02-23,Amazonia,16.0,2.15
2015-02-24,Amazonia,16.0,2.229729729729729
2015-02-25,Amazonia,59.0,2.3233333333333333
2015-02-26,Amazonia,17.0,3.015909090909091
2015-02-27,Amazonia,3.0,5.8136363636363635
2015-02-28,Amazonia,34.0,1.2439024390243896
2015-03-01,Amazonia,49.0,0.901785714285713
2015-03-02,Amazonia,10.0,4.557627118644067
2015-03-03,Amazonia,6.0,3.25
2015-03-04,Amazonia,1.0,6.033333333333334
2015-03-05,Amazonia,6.0,3.994444444444445
2015-03-06,Amazonia,48.0,1.2323529411764707
2015-03-07,Amazonia,7.0,4.303030303030303
2015-03-08,Amazonia,28.0,0.9394736842105259
