,bioma,riscofogo,precipitacao
2014-04-19,Amazonia,19.0,1.3714285714285708
2014-04-20,Amazonia,15.0,4.101680672268911
2014-04-21,Amazonia,1.0,4.189473684210527
2014-04-22,Amazonia,0.0,2.588888888888889
2014-04-23,Amazonia,1.0,5.115384615384615
2014-04-24,Amazonia,1.0,1.786842105263159
2014-04-25,Amazonia,1.0,3.006382978723404
2014-04-26,Amazonia,0.0,3.671428571428571
2014-04-27,Amazonia,8.0,1.6123076923076916
2014-04-28,Amazonia,15.0,1.0342857142857145
2014-04-29,Amazonia,10.0,0.6153153153153155
2014-04-30,Amazonia,6.0,0.9384146341463415
2014-05-01,Amazonia,19.0,0.3580508474576269
2014-05-02,Amazonia,23.0,2.0557575757575735
2014-05-03,Amazonia,14.0,0.7808510638297873
2014-05-04,Amazonia,34.0,0.5304
2014-05-05,Amazonia,17.0,1.385714285714286
2014-05-06,Amazonia,30.0,0.6732217573221756
2014-05-07,Amazonia,25.0,1.7209183673469404
2014-05-08,Amazonia,30.0,0.7738372093023256
2014-05-09,Amazonia,32.0,0.6125827814569538
2014-05-10,Amazonia,30.0,0.3708920187793428
2014-05-11,Amazonia,33.0,0.24911660777385164
2014-05-12,Amazonia,17.0,1.5419354838709671
2014-05-13,Amazonia,20.0,1.0171052631578943
2014-05-14,Amazonia,6.0,0.5867469879518076
2014-05-15,Amazonia,29.0,0.14738955823293176
2014-05-16,Amazonia,32.0,0.5231884057971006
2014-05-17,Amazonia,56.0,0.5526610644257702
2014-05-18,Amazonia,32.0,0.9655172413793104
2014-05-19,Amazonia,41.0,0.9734299516908207
2014-05-20,Amazonia,28.0,4.1755434782608685
2014-05-21,Amazonia,9.0,1.0281249999999997
2014-05-22,Amazonia,58.0,2.0686046511627914
2014-05-23,Amazonia,52.0,1.1672413793103444
2014-05-24,Amazonia,58.0,0.45460122699386474
2014-05-25,Amazonia,20.0,1.901869158878504
2014-05-26,Amazonia,6.0,1.2730769230769232
2014-05-27,Amazonia,47.0,2.641237113402062
2014-05-28,Amazonia,77.0,0.13734567901234568
2014-05-29,Amazonia,123.0,0.10111856823266221
2014-05-30,Amazonia,75.0,0.20745856353591155
2014-05-31,Amazonia,166.0,0.2012477718360066
2014-06-01,Amazonia,61.0,0.12062937062937075
2014-06-02,Amazonia,60.0,0.4380281690140843
2014-06-03,Amazonia,155.0,0.24870370370370334
2014-06-04,Amazonia,193.0,0.15931928687196117
2014-06-05,Amazonia,186.0,0.20436241610738243
2014-06-06,Amazonia,211.0,0.26702317290552574
2014-06-07,Amazonia,275.0,0.05064432989690724
2014-06-08,Amazonia,202.0,0.10935114503816802
2014-06-09,Amazonia,182.0,0.20045045045045046
2014-06-10,Amazonia,227.0,0.3322795341098169
2014-06-11,Amazonia,302.0,0.14860406091370557
2014-06-12,Amazonia,309.0,0.02618296529968454
2014-06-13,Amazonia,409.0,0.029671361502347417
2014-06-14,Amazonia,387.0,0.09179389312977099
2014-06-15,Amazonia,130.0,0.10242214532871974
2014-06-16,Amazonia,195.0,0.369558359621451
2014-06-17,Amazonia,179.0,0.11988742964352728
2014-06-18,Amazonia,161.0,0.8756232686980597
2014-06-19,Amazonia,155.0,0.9148535564853547
2014-06-20,Amazonia,203.0,0.39016697588126087
2014-06-21,Amazonia,380.0,0.05572705117790416
2014-06-22,Amazonia,241.0,0.09134948096885818
2014-06-23,Amazonia,241.0,0.33913043478260885
2014-06-24,Amazonia,313.0,0.17017045454545457
2014-06-25,Amazonia,462.0,0.07605932203389824
2014-06-26,Amazonia,375.0,0.12777777777777782
2014-06-27,Amazonia,450.0,0.2196808510638297
2014-06-28,Amazonia,315.0,0.38289290681502025
2014-06-29,Amazonia,197.0,0.07663157894736844
2014-06-30,Amazonia,341.0,0.13464912280701752
2014-07-01,Amazonia,364.0,0.05175332527206772
2014-07-02,Amazonia,393.0,0.06007604562737645
2014-07-03,Amazonia,551.0,0.0674626865671642
2014-07-04,Amazonia,712.0,0.11147410358565742
2014-07-05,Amazonia,796.0,0.05495836487509463
2014-07-06,Amazonia,410.0,0.1756267409470751
2014-07-07,Amazonia,388.0,0.17169117647058824
2014-07-08,Amazonia,584.0,0.07320656871218671
2014-07-09,Amazonia,654.0,0.24259259259259286
2014-07-10,Amazonia,606.0,0.10506787330316734
2014-07-11,Amazonia,567.0,0.23875598086124403
2014-07-12,Amazonia,778.0,0.15814479638009035
2014-07-13,Amazonia,541.0,0.2953940634595701
2014-07-14,Amazonia,779.0,0.14626099706744844
2014-07-15,Amazonia,1356.0,0.17545033453422584
2014-07-16,Amazonia,901.0,0.3482889733840306
2014-07-17,Amazonia,270.0,0.6833017077798864
2014-07-18,Amazonia,217.0,1.6997967479674805
2014-07-19,Amazonia,282.0,0.6144665461121152
2014-07-20,Amazonia,289.0,0.3669407894736841
2014-07-21,Amazonia,401.0,0.689012517385258
2014-07-22,Amazonia,499.0,0.5494199535962884
2014-07-23,Amazonia,508.0,0.8027554535017242
2014-07-24,Amazonia,447.0,0.47627118644067845
2014-07-25,Amazonia,563.0,0.4103080568720379
2014-07-26,Amazonia,469.0,0.0775884665792923
2014-07-27,Amazonia,507.0,0.5239709443099275
2014-07-28,Amazonia,521.0,0.4310265282583634
2014-07-29,Amazonia,910.0,1.0471273291925443
2014-07-30,Amazonia,1399.0,0.10063768115942004
2014-07-31,Amazonia,1291.0,0.1937923250564332
2014-08-01,Amazonia,1360.0,0.335453597497393
2014-08-02,Amazonia,800.0,0.5882022471910117
2014-08-03,Amazonia,1064.0,0.2191477272727275
2014-08-04,Amazonia,969.0,1.262208915502328
2014-08-05,Amazonia,1790.0,0.7144973968762515
2014-08-06,Amazonia,2487.0,0.7036734693877541
2014-08-07,Amazonia,1194.0,2.0360101975780767
2014-08-08,Amazonia,886.0,0.62082262210797
2014-08-09,Amazonia,1566.0,0.16154891304347818
2014-08-10,Amazonia,2847.0,0.10569482288828344
2014-08-11,Amazonia,2244.0,0.2981544771018467
2014-08-12,Amazonia,2901.0,0.23527309851965342
2014-08-13,Amazonia,5395.0,0.45187403993855296
2014-08-14,Amazonia,7606.0,0.24042066758116093
2014-08-15,Amazonia,10252.0,0.07569243840271889
2014-08-16,Amazonia,10528.0,0.010277090154116427
2014-08-17,Amazonia,9725.0,0.04363057324840765
2014-08-18,Amazonia,9710.0,0.003113523870349681
2014-08-19,Amazonia,13596.0,0.013059701492537292
2014-08-20,Amazonia,17867.0,0.017048486521299172
2014-08-21,Amazonia,15478.0,0.16276935131807155
2014-08-22,Amazonia,7634.0,0.4571325499896915
2014-08-23,Amazonia,5719.0,0.25705341170457296
2014-08-24,Amazonia,6195.0,0.6783027232425598
2014-08-25,Amazonia,1111.0,0.8579150579150563
2014-08-26,Amazonia,5561.0,1.2355507088331572
2014-08-27,Amazonia,3618.0,0.6501107665042046
2014-08-28,Amazonia,2365.0,1.6052693901716941
2014-08-29,Amazonia,2066.0,2.158183426717799
2014-08-30,Amazonia,1428.0,4.522884012539211
2014-08-31,Amazonia,1247.0,2.259775967413442
2014-09-01,Amazonia,1339.0,1.508165548098442
2014-09-02,Amazonia,2652.0,0.7236810029601157
2014-09-03,Amazonia,3345.0,1.375757575757593
2014-09-04,Amazonia,3300.0,1.2447607866158057
2014-09-05,Amazonia,3396.0,4.662757807896217
2014-09-06,Amazonia,1256.0,2.391260273972613
2014-09-07,Amazonia,1213.0,3.9756448547379923
2014-09-08,Amazonia,2543.0,0.5901577761081835
2014-09-09,Amazonia,4695.0,0.2999861954721148
2014-09-10,Amazonia,6130.0,0.1285485240026406
2014-09-11,Amazonia,7131.0,1.089147216419967
2014-09-12,Amazonia,7493.0,0.8737169658158369
2014-09-13,Amazonia,6591.0,0.7325919496582478
2014-09-14,Amazonia,3796.0,0.4162109666816042
2014-09-15,Amazonia,2325.0,3.536300603891773
